mapblklot,from_address_num,street_name,street_type,analysis_neighborhood,zoning_code,zoning_district,supervisor_district,supname,Height_Ft,distance_to_transit
2400050,1511,TARAVAL,ST,Sunset/Parkside,NCD,TARAVAL STREET NEIGHBORHOOD COMMERCIAL DISTRICT,4,Alan Wong,65,193.12662915976796
4711154,2,BELL,CT,Bayview Hunters Point,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",10,Shamann Walton,160,1575.9137279318802
6528027,2943,MISSION,ST,Mission,NCT,MISSION STREET NEIGHBORHOOD COMMERCIAL TRANSIT,9,Jackie Fielder,40,845.0689651566644
5426043,2027,BANCROFT,AVE,Bayview Hunters Point,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,2414.834404670594
1751020,1264,03RD,AVE,Inner Sunset,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",7,Myrna Melgar,40,351.9703781662325
2507023,2786,39TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,2341.119794959699
1503057,7719,GEARY,BLVD,Outer Richmond,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",1,Connie Chan,50,151.38227221145738
1019066,3563,SACRAMENTO,ST,Presidio Heights,NCD,SACRAMENTO STREET NEIGHBORHOOD COMMERCIAL,2,Stephen Sherrill,65,2198.9473347586654
3169005,541,WILDWOOD,WAY,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,906.6495407781641
3026034,172,LOS PALMOS,DR,West of Twin Peaks,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",7,Myrna Melgar,40,3508.114620963365
5311018,,,,Bayview Hunters Point,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",10,Shamann Walton,40,610.1185489238084
7218010A,3010,21ST,AVE,Sunset/Parkside,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",4,Alan Wong,40,791.3094950925822
5670004,212,ELSIE,ST,Bernal Heights,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",9,Jackie Fielder,40,1467.665416938502
1868011,1559,22ND,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,1088.9323414336527
1710052,3920,IRVING,ST,Sunset/Parkside,NC-1,"NEIGHBORHOOD COMMERCIAL, CLUSTER",4,Alan Wong,65,771.1994708229672
6934012,306,JULES,AVE,Oceanview/Merced/Ingleside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,412.34536624348203
2443033,4127,ULLOA,ST,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,759.7170998510965
1151003,845,BAKER,ST,Lone Mountain/USF,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",2,Stephen Sherrill,40,1753.3376258577837
2636012,315,CRESTMONT,DR,Inner Sunset,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",7,Myrna Melgar,40,2423.140997490304
2141006G,2066,22ND,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,2287.05287939999
1026005,2704,CALIFORNIA,ST,Pacific Heights,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",2,Stephen Sherrill,50,1859.4418055715917
0909010,839,MARINA,BLVD,Marina,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",2,Stephen Sherrill,40,6473.58195544527
6578023,244,27TH,ST,Noe Valley,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,50,484.1454201253011
0623001C,1840,SACRAMENTO,ST,Pacific Heights,RM-3,"RESIDENTIAL- MIXED, MEDIUM DENSITY",2,Stephen Sherrill,350,222.7513117752561
3081013,1630,PLYMOUTH,AVE,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,2717.9437595087925
6938049,115,DE MONTFORT,AVE,Oceanview/Merced/Ingleside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,469.362630129585
7243013,50,BANBURY,DR,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,588.5723799292945
2628045,247,UPPER,TER,Castro/Upper Market,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,1785.4357719717004
1411001,6001,CALIFORNIA,ST,Outer Richmond,NC-1,"NEIGHBORHOOD COMMERCIAL, CLUSTER",1,Connie Chan,65,1421.4993602766272
1207008,301,LYON,ST,Lone Mountain/USF,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",5,Bilal Mahmood,40,3085.1179637751416
0095019,2430,LARKIN,ST,Russian Hill,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",3,Danny Sauter,50,1165.9975573340887
2686020,99,DEVONSHIRE,WAY,Inner Sunset,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,2542.509304696625
5663011,256,ANDERSON,ST,Bernal Heights,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",9,Jackie Fielder,40,2521.6612113110123
6723004,14,CUVIER,ST,Outer Mission,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",8,Rafael Mandelman,40,1442.311785259769
3011A010,160,SAN PABLO,AVE,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,1736.7185091969793
7537064,1899,DIAMOND,ST,Glen Park,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",8,Rafael Mandelman,40,2393.5852754923335
3211005A,7,RUDDEN,AVE,Outer Mission,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,789.2143347231836
2902031,123,ULLOA,ST,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,1884.346360421831
2066005,1827,29TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,2941.281015118422
5668036,252,BOCANA,ST,Bernal Heights,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",9,Jackie Fielder,40,1623.8818535415041
6980006,159,LEE,AVE,Oceanview/Merced/Ingleside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,832.5480034412149
2342016A,300,TARAVAL,ST,West of Twin Peaks,NCD,INNER TARAVAL STREET NEIGHBORHOOD COMMERCIAL DISTRICT,7,Myrna Melgar,65,557.5877135219307
3153004,1892,SAN JOSE,AVE,Outer Mission,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,450.6530565276511
7510028,29,TURQUOISE,WAY,Noe Valley,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",8,Rafael Mandelman,40,3879.9430637612736
3011057,104,MIRALOMA,DR,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,1570.7104669083405
2878008,91,MERCED,AVE,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,1177.2336202623176
7105007B,250,FARALLONES,ST,Oceanview/Merced/Ingleside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,556.0888044445564
1651072,788,09TH,AVE,Inner Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,50,2782.852985271249
3141033,142,FOERSTER,ST,West of Twin Peaks,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",7,Myrna Melgar,40,2268.854417845387
4271033,2929,HARRISON,ST,Mission,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",9,Jackie Fielder,40,2128.6753959739485
6710004,120,SWISS,AVE,Glen Park,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",8,Rafael Mandelman,40,1793.3602528888352
6452001,200,NAYLOR,ST,Excelsior,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",11,Chyanne Chen,40,5406.931833319257
5343021D,1721,NEWHALL,ST,Bayview Hunters Point,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",10,Shamann Walton,40,768.4974161897231
4760004B,1422,REVERE,AVE,Bayview Hunters Point,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",10,Shamann Walton,40,1606.2217243434784
1378021,168,19TH,AVE,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,1635.969890842382
1069022,168,COLLINS,ST,Presidio Heights,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",2,Stephen Sherrill,40,882.725387525247
2314035,2525,RIVERA,ST,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,1282.9983863934594
2093010,1967,41ST,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,2939.916622229696
2078003,1835,41ST,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,3006.6449066679606
3002003,309,LOS PALMOS,DR,West of Twin Peaks,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",7,Myrna Melgar,40,3826.8185387495123
5384C011B,63,MADDUX,AVE,Bayview Hunters Point,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,2003.773661865723
4146030,937,ALABAMA,ST,Mission,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",9,Jackie Fielder,40,2719.7107401562193
0051030,71,WATER,ST,North Beach,NCD,NORTH BEACH NEIGHBORHOOD COMMERCIAL,3,Danny Sauter,50,1186.4270542294569
0460A010,1650,BAY,ST,Marina,RM-3,"RESIDENTIAL- MIXED, MEDIUM DENSITY",2,Stephen Sherrill,40,2601.8986734535993
3004014,450,LOS PALMOS,DR,West of Twin Peaks,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",7,Myrna Melgar,40,4025.465947516595
0073002B,2141,TAYLOR,ST,Russian Hill,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",3,Danny Sauter,50,1902.2009201415265
1766006,1335,11TH,AVE,Inner Sunset,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",7,Myrna Melgar,40,458.4716663536102
2319018A,2212,31ST,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,1248.810902638058
5331043,2059,PALOU,AVE,Bayview Hunters Point,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,2878.9881706200117
5669027,217,ELSIE,ST,Bernal Heights,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",9,Jackie Fielder,40,1533.7647641816557
6198047,1335,GOETTINGEN,ST,Visitacion Valley,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,1262.100913209292
7052037,26,THRIFT,ST,Oceanview/Merced/Ingleside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,1431.693942698986
0805003,745,BUCHANAN,ST,Hayes Valley,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",5,Bilal Mahmood,50,2287.2433361117255
6487006,42,PRETOR,WAY,Excelsior,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,3103.53902222988
4145031,911,FLORIDA,ST,Mission,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",9,Jackie Fielder,40,2951.4927626006515
6200040,87,TIOGA,AVE,Visitacion Valley,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,1674.4812451409166
7092080,216,LOBOS,ST,Oceanview/Merced/Ingleside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,761.8663743458658
1771004,1329,16TH,AVE,Inner Sunset,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",7,Myrna Melgar,40,456.42765054127705
4711164,8,PROGRESS,ST,Bayview Hunters Point,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",10,Shamann Walton,160,2091.3671310493532
1867022,1582,22ND,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,1221.5973424213105
2482028,320,WAWONA,ST,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,362.771427079423
1500007,539,44TH,AVE,Outer Richmond,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",1,Connie Chan,40,368.3771915668334
3727053,642,NATOMA,ST,South of Market,RED,RESIDENTIAL ENCLAVE,6,Matt Dorsey,40,974.9918042121467
2405004,2419,20TH,AVE,Sunset/Parkside,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",4,Alan Wong,50,387.7080598017187
2444007,2571,43RD,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,842.317195490092
2623065,97,STATES,ST,Castro/Upper Market,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,619.3600687562947
1841025,1458,FUNSTON,AVE,Inner Sunset,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",7,Myrna Melgar,40,411.3574163801569
1686027,878,44TH,AVE,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,2606.006918253215
2927022,317,DORANTES,AVE,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,1246.1309136044579
1580002G,647,37TH,AVE,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,1063.7127534713766
1126007,1201,DIVISADERO,ST,Western Addition,NCT,DIVISADERO STREET NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT,5,Bilal Mahmood,65,899.4973765813895
4094003,812,RHODE ISLAND,ST,Potrero Hill,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",10,Shamann Walton,40,2948.518735218156
1678010,843,35TH,AVE,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,2341.0137687979336
4283B029,1481,DE HARO,ST,Potrero Hill,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,3271.1045300774376
6984016,115,MIRAMAR,AVE,Oceanview/Merced/Ingleside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,1431.7888633269577
3585126,39,HANCOCK,ST,Castro/Upper Market,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",8,Rafael Mandelman,50,455.31901024963446
6447011,130,SEVILLE,ST,Excelsior,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,4322.615977191049
4760016A,1463,QUESADA,AVE,Bayview Hunters Point,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,1370.5564307182833
6905022,65,EL PLAZUELA,WAY,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,898.5891632946757
5803026,72,CRESCENT,AVE,Bernal Heights,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",9,Jackie Fielder,40,1664.8157302647046
6095025A,1114,PERSIA,AVE,Excelsior,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,5136.739914275706
0232016,101,CLAY,ST,Financial District/South Beach,C-3-O,DOWNTOWN- OFFICE,3,Danny Sauter,300,627.6399193075648
1462050,2907,CLEMENT,ST,Outer Richmond,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",1,Connie Chan,40,1058.7402178580521
0098034,1047,FILBERT,ST,Russian Hill,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",3,Danny Sauter,40,2190.6171075943466
7031014C,2319,ALEMANY,BLVD,Outer Mission,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,1597.91528926832
4079020,721,YORK,ST,Mission,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",9,Jackie Fielder,40,3740.847614442708
3101015,139,SAN LEANDRO,WAY,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,904.770579067007
7545018,149,FARNUM,ST,Glen Park,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",8,Rafael Mandelman,40,2080.086714133079
1543046,3727,GEARY,BLVD,Inner Richmond,NCD,GEARY BOULEVARD NEIGHBORHOOD COMMERCIAL DISTRICT,1,Connie Chan,140,198.3538962245804
7239002,12,STRATFORD,DR,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,1098.9595851416973
6690043,235,CHENERY,ST,Glen Park,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,736.9598281926782
1634008,667,10TH,AVE,Inner Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,2017.157947117509
1528017,475,16TH,AVE,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,932.0040929578327
5069008,254,WHEELER,AVE,Bayview Hunters Point,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,688.3573901507276
2349001C,2311,20TH,AVE,Sunset/Parkside,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",4,Alan Wong,40,700.8606193872808
0085048,1355,SANSOME,ST,North Beach,C-2,COMMUNITY BUSINESS,3,Danny Sauter,84,696.1933246396304
6338013A,770,MOSCOW,ST,Excelsior,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,4485.653150087696
1607018,762,38TH,AVE,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,1823.3958259804347
3614093,2576,FOLSOM,ST,Mission,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",9,Jackie Fielder,40,1756.9681786827894
6728015,544,LAIDLEY,ST,Glen Park,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",8,Rafael Mandelman,40,1093.2626198017801
3118010,230,HEARST,AVE,West of Twin Peaks,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",7,Myrna Melgar,40,1070.857250038929
6939042,278,JULES,AVE,Oceanview/Merced/Ingleside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,622.4587468215155
6600035,249,DUNCAN,ST,Noe Valley,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,50,370.06333782420614
7542035,30,MIGUEL,ST,Glen Park,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",8,Rafael Mandelman,40,1621.296532784159
1387022I,258,28TH,AVE,Seacliff,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",1,Connie Chan,40,1843.1934289687651
0513009A,2468,FILBERT,ST,Marina,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",2,Stephen Sherrill,40,4650.614086768627
1763020,320,JUDAH,ST,Inner Sunset,NCD,INNER SUNSET NEIGHBORHOOD COMMERCIAL,7,Myrna Melgar,85,229.2651511230537
5620013,150,BOCANA,ST,Bernal Heights,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",9,Jackie Fielder,40,1971.9324470452275
1150047,2167,TURK,BLVD,Lone Mountain/USF,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",2,Stephen Sherrill,40,1466.065920223631
6015026,275,LONDON,ST,Excelsior,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",11,Chyanne Chen,40,2456.261279403308
0153024,2028,LARKIN,ST,Russian Hill,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",3,Danny Sauter,50,1078.2215624898295
1609004A,719,35TH,AVE,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,1523.9486776371677
2924013,165,MERCED,AVE,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,1252.6836871618807
2149003R,2050,30TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,2354.2437189771376
2973025,70,LANSDALE,AVE,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,1643.8947605468877
2010054,3339,MORAGA,ST,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,2104.6725736156427
1308018,275,SEACLIFF,AVE,Seacliff,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",1,Connie Chan,40,3223.749216609152
1085005,47,BEAUMONT,AVE,Lone Mountain/USF,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",2,Stephen Sherrill,50,951.5255099444988
6510036,307,CHATTANOOGA,ST,Noe Valley,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,50,379.82940840734335
0063025,461,CHESTNUT,ST,North Beach,RM-2,"RESIDENTIAL- MIXED, MODERATE DENSITY",3,Danny Sauter,40,1479.5851494350957
0131005,1327,GRANT,AVE,North Beach,NCD,NORTH BEACH NEIGHBORHOOD COMMERCIAL,3,Danny Sauter,40,1578.9663654739238
1367022,4514,CALIFORNIA,ST,Inner Richmond,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",1,Connie Chan,50,1514.2263140513298
1922041,1626,22ND,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,1549.505433536353
0191019,1248,MASON,ST,Chinatown,RC-3,"RESIDENTIAL- COMMERCIAL, MEDIUM DENSITY",3,Danny Sauter,65,945.2131383631771
2193019,2178,25TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,1542.8801100840935
5980018,117,FELTON,ST,Portola,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",9,Jackie Fielder,40,3680.358393279591
0157023,1620,JONES,ST,Nob Hill,RM-2,"RESIDENTIAL- MIXED, MODERATE DENSITY",3,Danny Sauter,65,2019.3050491184347
4096051,889,DE HARO,ST,Potrero Hill,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",10,Shamann Walton,40,2415.61277532945
0516007,113,PIXLEY,ST,Marina,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",2,Stephen Sherrill,40,3007.7088177676733
1588001Q,636,46TH,AVE,Outer Richmond,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",1,Connie Chan,40,979.273629474626
6796018,44,SANTA ROSA,AVE,Outer Mission,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,1772.3916645173736
6322008S,267,SANTOS,ST,Visitacion Valley,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,4164.979472310681
5805010,50,ARNOLD,AVE,Bernal Heights,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",9,Jackie Fielder,40,2224.848561415886
7112007,26,SADOWA,ST,Oceanview/Merced/Ingleside,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",11,Chyanne Chen,40,332.6748233023109
1237005,265,DIVISADERO,ST,Haight Ashbury,NCT,DIVISADERO STREET NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT,5,Bilal Mahmood,50,1405.6151118169116
2417013,2578,17TH,AVE,West of Twin Peaks,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",7,Myrna Melgar,40,972.4404447310663
1911005,1691,32ND,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,2009.146479318744
0585012C,2430,SCOTT,ST,Pacific Heights,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",2,Stephen Sherrill,40,3239.344137356349
5318004,2006,PALOU,AVE,Bayview Hunters Point,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,2540.8456731383076
1888017,1594,43RD,AVE,Sunset/Parkside,NC-1,"NEIGHBORHOOD COMMERCIAL, CLUSTER",4,Alan Wong,65,1281.9002080081027
5811035,845,MOULTRIE,ST,Bernal Heights,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",9,Jackie Fielder,40,3077.8697370477003
2121A027,76,ROCKRIDGE,DR,Inner Sunset,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",7,Myrna Melgar,40,2809.3322905316945
2453013,2634,44TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,724.8453245327128
6735017,58,MARTHA,AVE,West of Twin Peaks,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",8,Rafael Mandelman,40,1897.6135954373806
0463A002,219,MALLORCA,WAY,Marina,RM-3,"RESIDENTIAL- MIXED, MEDIUM DENSITY",2,Stephen Sherrill,40,3868.8255329759395
1086031,740,ANZA,ST,Lone Mountain/USF,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",2,Stephen Sherrill,50,1207.450051005224
3206026,49,NORTON,ST,Outer Mission,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,1900.6731610434883
6502033,4606,25TH,ST,Noe Valley,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,3897.5129083091415
3576012,2176,MISSION,ST,Mission,NCT,MISSION STREET NEIGHBORHOOD COMMERCIAL TRANSIT,9,Jackie Fielder,65,1063.1566944653766
1571005F,679,28TH,AVE,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,1627.6528848052901
2965A028,43,GAVIOTA,WAY,West of Twin Peaks,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",7,Myrna Melgar,40,4243.787075731659
5384B009,50,MADDUX,AVE,Bayview Hunters Point,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,2149.1135183440433
1824011,1455,29TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,517.1576151827327
4068021,455,ARKANSAS,ST,Potrero Hill,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",10,Shamann Walton,40,1889.8961253480154
0973026,3233,PACIFIC,AVE,Presidio Heights,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",2,Stephen Sherrill,40,3249.4697258085926
1848018,1471,05TH,AVE,Inner Sunset,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",7,Myrna Melgar,40,1146.2028238092048
1043004,23,MANZANITA,AVE,Presidio Heights,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",2,Stephen Sherrill,40,1742.019596991117
0794051,542,GROVE,ST,Hayes Valley,RTO,RESIDENTIAL TRANSIT ORIENTED DISTRICT,5,Bilal Mahmood,40,1780.6350625053303
